ADDR_ID|LEGAL_ENTITY_ID|ADDRESS_TYPE_CODE|LINE1|LINE2|CITY|STATE_TYPE_CODE|POSTAL_CODE|INSRT_TS|CHNG_TS|INSRT_USR_ID|CHNG_USR_ID|ACTIVE_FLAG|ADDRESS_STANDARDIZATION_FAILED_FLAG|REFERENCE_ID
f8281bb9-e051-415d-80a6-aa2d90ed7aeb|4744dba3-1d75-4b20-a9bd-d63ca04065fb|1|8915 MJHVTWKH RD|APT 22|DORA|36|35062|2018-03-06 07:03:09.538000|2018-03-06 07:03:11.640300|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|0|TCC-180301434211
2f63a6bb-ddbf-4bbe-b96b-03d7b45c150c|0e93e711-3fb4-4e8f-be77-c76479b2bb50|1|8915 MJHVTWKH RD|APT 22|DORA|36|35062|2018-03-06 09:03:07.127000|2018-03-06 09:03:08.579674|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|0|TCC-180301135014
4f8f9ee5-3921-4d8f-85b5-f53effc73712|54fef18c-c70e-402e-b7d9-8df6d60d0476|1|8915 MJHVTWKH RD|APT 22|DORA|36|35062|2018-03-06 09:03:09.653000|2018-03-06 09:03:10.101708|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|0|TDC-180301012005
493a4246-a953-45a3-8b06-4d814b1808c7|2c0f4091-6bde-4a55-98f3-f580a84d0bb1|1|8915 MJHVTWKH RD|APT 22|DORA|36|35062|2018-03-06 09:03:11.586000|2018-03-06 09:03:12.262963|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|0|TCC-180301448928
de7d1840-f382-40c3-9bb6-5ebfb6eb9ec8|0f2a4afc-9d4a-4e22-9f92-32f82e0ab783|1|8915 MJHVTWKH RD|APT 22|DORA|36|35062|2018-03-06 09:03:14.820000|2018-03-06 09:03:14.738013|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|0|TCC-180301281465
6fed5c0b-a800-46dc-a92e-60ba7dd8346c|5f1a8a72-b5ec-4131-ab4a-9341bcf4aaeb|1|8915 MJHVTWKH RD|APT 22|DORA|36|35062|2018-03-06 09:03:15.594000|2018-03-06 09:03:16.638900|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|0|TDC-180301799501
26aa9f09-9263-4338-945d-6199c25ddbac|a0820942-c828-4c3a-94a9-993f5b8ada15|1|8915 MJHVTWKH RD|APT 22|DORA|36|35062|2018-03-06 09:03:17.590000|2018-03-06 09:03:17.470115|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|0|TCC-180301417261
2b64f3fc-9122-4595-8e1b-1cf97c177bf8|9cb0f124-e9b6-41cb-8f21-c6c89d5dbd97|1|8915 MJHVTWKH RD|APT 22|DORA|36|35062|2018-03-06 09:03:18.705000|2018-03-06 09:03:19.263190|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|0|TCC-180301348815
f7c89d5f-1e33-49b3-85be-c53f6d8b6fe3|74c2d7df-43a4-4dbc-b82f-8ba0e8add27c|1|8915 MJHVTWKH RD|APT 22|DORA|36|35062|2018-03-06 09:03:20.770000|2018-03-06 09:03:20.554639|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|0|TCC-180301404011
d802600a-a452-45f3-b9af-d019a6317273|ddc5b4ba-9f04-4416-9373-3039c854b228|1|8915 MJHVTWKH RD|APT 22|DORA|36|35062|2018-03-06 09:03:21.373000|2018-03-06 09:03:21.875173|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|0|TCC-180301794238
