OFFER_ID|DECISION_ID|OFFER_TYPE_CODE|PRODUCT_TYPE_CODE|SUB_PRODUCT_TYPE_CODE|PROMO_TYPE_CODE|OFFER_STATUS_TYPE_CODE|AMOUNT|RATE|ACCOUNT_NBR_ASSIGNED|ACCOUNT_EXPIRATION_DATE|ACCOUNT_PIN_NBR_ASSIGNED|ACCEPTED_OFFER_FLAG|INSRT_TS|CHNG_TS|INSRT_USR_ID|CHNG_USR_ID|ACTIVE_FLAG|TYSYS_ACCOUNT_ID|BOOKING_DATE_TIME|TEMPORARY_CREDIT_LIMIT|TEMPORARY_LIMIT_EXPIRY_DATE|ONLINE_PROMOTION_CODE|JOINT_AUTHORIZED_BUYER_FLAG|AUTO_PAY_ENROLLMENT|AUTO_PAY_METHOD|AUTO_PAY_ACCOUNT|AUTO_PAY_OPTION|ACE_OPTION_SET|ASSIGNED_DISCLOSURE_GROUP|ASSIGNED_PURCHASE_APR|ASSIGNED_PURCHASE_DIV_PAYOUT_RATIO|ASSIGNED_PENALTY_APR|ASSIGNED_PENALTY_DIV_PAYOUT_RATIO|ASSIGNED_CASH_APR|ASSIGNED_CASH_DIV_PAYOUT_RATIO|ASSIGNED_PURCHASE_MARGIN|ASSIGNED_PENALTY_MARGIN|ASSIGNED_CASH_MARGIN|PROMOTIONAL_DISCLOSURE_GROUP|ACQUISITION_STRATEGY|MICR_RATING_ASSIGNMENT|REFERENCE_ID
e9945fb5-6f76-4cad-953c-5f0be4351b3c|c3c0fa55-2aa6-419c-88d4-287ed10a41bf|1|1|||1|4000|12.4|5499740000000057|2023-03-06 00:00:00.000000||1|2018-03-06 07:03:09.538000|2018-03-06 07:03:11.640300|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|30002000100|2018-03-06T07:03:09.000-0600|100|2018-03--30|||||||||||||||||||||TCC-180301663693
55031f23-9e41-4bd8-b25b-adc8bf6820d8|21ca6b51-4cdb-4b82-80f1-04916e27af7d|1|1|||1|4000|12.4|5499740000000057|2023-03-06 00:00:00.000000||1|2018-03-06 09:03:07.127000|2018-03-06 09:03:08.579674|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|30002000100|2018-03-06T09:03:07.000-0600|100|2018-03--30|||||||||||||||||||||TCC-180301434211
dc4e9a2e-8fa3-4e18-be10-2688a1f59167|94b86a87-d332-4833-9bab-3a4ef3dc0130|1|2|||1|800|10.4|4111111111111111|2023-03-06 00:00:00.000000||1|2018-03-06 09:03:09.653000|2018-03-06 09:03:10.101708|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|30002000100|2018-03-06T09:03:09.000-0600|100|2018-03--30|||||||||||||||||||||TCC-180301135014
a8e268b4-c91f-47c5-a3eb-50fd9732a32f|f54e7046-7ba2-4f19-ba88-8633aac9ecb2|1|1|||1|4000|12.4|5499740000000057|2023-03-06 00:00:00.000000||1|2018-03-06 09:03:18.705000|2018-03-06 09:03:19.263190|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|30002000100|2018-03-06T09:03:18.000-0600|100|2018-03--30|||||||||||||||||||||TCC-180301417261
0b46b1a6-486d-4986-a743-d59c2a619d11|71a67868-6a7f-4db5-88f2-74deec4beb09|1|1|||1|4000|12.4|5499740000000057|2023-03-06 00:00:00.000000||1|2018-03-06 09:03:21.373000|2018-03-06 09:03:21.875173|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|30002000100|2018-03-06T09:03:21.000-0600|100|2018-03--30|||||||||||||||||||||TCC-180301404011
ed51040e-b93d-4219-a26d-f48bcd30d271|88f2be6e-3425-4fcb-903c-40e127772de5|1|1|||1|4000|12.4|5499740000000057|2023-03-06 00:00:00.000000||1|2018-03-06 09:03:24.211000|2018-03-06 09:03:24.706043|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|30002000100|2018-03-06T09:03:24.000-0600|100|2018-03--30|||||||||||||||||||||TCC-180301141355
62ea1d82-9cd8-47af-a1b2-dbd6493f1286|e3c6def0-5136-4c0c-abd7-851cf052e31e|1|1|||1|4000|12.4|5499740000000057|2023-03-06 00:00:00.000000||1|2018-03-06 09:03:29.395000|2018-03-06 09:03:29.845527|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|30002000100|2018-03-06T09:03:29.000-0600|100|2018-03--30|||||||||||||||||||||TCC-180301694298
026ad832-6377-45c5-9371-87112a5243f0|803fda81-b776-4dad-801b-addbbd56308f|1|2|||1|800|10.4|4111111111111111|2023-03-06 00:00:00.000000||1|2018-03-06 17:03:05.337000|2018-03-06 17:03:35.992726|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|30002000100|2018-03-06T17:03:05.000-0600|100|2018-03--30|||||||||||||||||||||TCC-180301811773
2ec98b34-eafb-42fe-8ca6-5d6ff7db9bb0|80722b5d-4430-43db-a3f4-fb850a0efe53|1|1|||1|4000|12.4|5499740000000057|2023-03-06 00:00:00.000000||1|2018-03-06 20:03:03.589000|2018-03-06 17:03:07.119916|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|30002000100|2018-03-06T20:03:03.000-0600|100|2018-03--30|||||||||||||||||||||TCC-180301228770
1e89d4f9-f898-4cc9-a357-001ff6031fda|e985161b-a4ae-4175-8e4f-52651ced0fd0|1|1|||1|4000|12.4|5499740000000057|2023-03-06 00:00:00.000000||1|2018-03-06 15:03:30.275000|2018-03-06 20:03:04.464882|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|30002000100|2018-03-06T15:03:30.000-0600|100|2018-03--30|||||||||||||||||||||TCC-180301673219
52c55870-d1bf-4c53-b0e5-3b327e71d6b5|d1cbe762-d5e4-41d7-9352-e18ccb57a658|1|2|||1|800|10.4|4111111111111111|2023-03-06 00:00:00.000000||1|2018-03-06 16:03:40.524000|2018-03-06 15:03:28.520223|92a9b111-321f-4508-bdd6-12b91778f39f|92a9b111-321f-4508-bdd6-12b91778f39f|1|30002000100|2018-03-06T16:03:40.000-0600|100|2018-03--30|||||||||||||||||||||TCC-180301437727
